rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,session_file_id,task,correct_response,attempts,correct,success,completion_time,exp_type
133005.0,"
  <div class=""jspsych-content"" align=left style=""width:100%;text-align: left;"">
  <h2>Hello, and welcome to our study!</h2>
      In this study, we will show you 30 simple statements.
      <p>
      We need your help deciding whether some things are <strong>probable</strong>, <strong>improbable</strong>, <strong>impossible</strong>,  or <strong>nonsense</strong>. 
      </p>
      <p>
      <strong>Probable</strong> means it is something that is likely to happen. 
      <ul><li>For example, ""I painted the house with my brush.""</li></ul>
      <p>
      <strong>Improbable</strong> means it is something that is possible, but unlikely. 
      <p>
      <ul><li>For example, ""I painted the house with my hair.""</li></ul>
      <p>
      <strong>Impossible</strong> means it is something that cannot happen in our world given the laws of nature. 
      <p>
      <ul><li>For example, ""I painted the house with my mind.""</li></ul> 
      <p>
      <strong>Nonsense</strong> means it is something that does not make any sense due to some basic conceptual or structural error. 
      <p>
      <ul><li>For example, ""I painted the house with my number.""</li></ul>
      <p>
      You are going to be given 30 statements. Please categorize them into one of the four categories above.
      <p>
      Once you are done reading, please press SPACEBAR to continue.
      </p>
  </div>
      ", ,html-keyboard-response,0.0,133008.0,0.0-0.0,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,,,,,,,
6366.0,"
  <div class=""jspsych-content"" align=left style=""width:100%;text-align: left;"">
      <p>
          We are almost ready for the study. 
          Before we start, we have a few comprehension questions, 
          to make sure you understand the task.
      </p>
      <p>
          You will see a few statements and be asked to categorize them into one of the four categories of probable, improbable, impossible and nonsense.
      </p>
      <p> 
          You must correctly categorize <b>all</b> of the statements to move onto the experiment!
      </p>
      <p>
          Please press the <b>""1"" key for Probable</b>, the <b>""2"" key for Improbable</b>, the <b>""9"" key for Impossible</b> and the <b>""0"" key for Nonsense</b>.
      </p>
      <br>
        <img src='img/keyboard.png' style=""width:50%;display: block;margin: auto""></img>
      <br>
      <p>
          Press SPACEBAR to begin.
      </p>
      ", ,html-keyboard-response,1.0,139375.0,0.0-1.0,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,,,,,,,
1319.0,Drinking a glass of water.,1,html-keyboard-response,2.0,140694.0,0.0-2.0-0.0,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,comprehension,1,0.0,True,,,
5573.0,Moving furniture with your mind.,9,html-keyboard-response,3.0,146268.0,0.0-2.0-0.1,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,comprehension,9,0.0,True,,,
5049.0,Finding an alligator under your bed.,2,html-keyboard-response,4.0,151317.0,0.0-2.0-0.2,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,comprehension,2,0.0,True,,,
7199.0,Pouring yourself a glass of honey.,2,html-keyboard-response,5.0,158517.0,0.0-2.0-0.3,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,comprehension,2,0.0,True,,,
6817.0,Painting the clouds in the sky pink.,9,html-keyboard-response,6.0,165334.0,0.0-2.0-0.4,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,comprehension,9,0.0,True,,,
3302.0,Locking a door with a day.,0,html-keyboard-response,7.0,168636.0,0.0-2.0-0.5,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,comprehension,0,0.0,True,,,
1076.0,Eating vegetables for dinner.,1,html-keyboard-response,8.0,169712.0,0.0-2.0-0.6,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,comprehension,1,0.0,True,,,
3424.0,Smashing a pumpkin with sadness.,0,html-keyboard-response,9.0,173137.0,0.0-2.0-0.7,anon_subject_23,657a657ec1de517384e4122b,657b6a92e1c53298c979c78c,0.23562028128131574,session-657b6d4c8e693,comprehension,0,0.0,True,,,
