rt,stimulus,response,task_type,correct_response,attemps,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,correct,attempts,session_file_id
33718,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,37006,0.0-1.0-0.0,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,True,0,session-65a04185c5cb4
1166,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,38174,0.0-1.0-0.1,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,True,0,session-65a04185c5cb4
912,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,3,39085,0.0-1.0-0.2,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,True,0,session-65a04185c5cb4
1176,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,4,40262,0.0-1.0-0.3,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,True,0,session-65a04185c5cb4
839,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,5,41101,0.0-1.0-0.4,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,True,0,session-65a04185c5cb4
929,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,6,42030,0.0-1.0-0.5,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,True,0,session-65a04185c5cb4
1064,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,7,43093,0.0-1.0-0.6,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,True,0,session-65a04185c5cb4
712,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,8,43805,0.0-1.0-0.7,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,True,0,session-65a04185c5cb4
2382,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,11541,0.0-1.0-0.0,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,0,session-65a04795a47b9
2126,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,13669,0.0-1.0-0.1,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,0,session-65a04795a47b9
2046,Could someone find an alligator under their bed?,0,practice,1,1,html-keyboard-response,3,15717,0.0-1.0-0.2,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,False,0,session-65a04795a47b9
2027,Could someone pour a glass of honey?,0,practice,1,1,html-keyboard-response,4,17746,0.0-1.0-0.3,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,False,0,session-65a04795a47b9
1858,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,5,19606,0.0-1.0-0.4,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,0,session-65a04795a47b9
2172,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,6,21779,0.0-1.0-0.5,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,0,session-65a04795a47b9
2255,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,7,24037,0.0-1.0-0.6,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,0,session-65a04795a47b9
2900,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,8,26939,0.0-1.0-0.7,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,0,session-65a04795a47b9
2006,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,9,33542,0.0-1.1-0.8,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,1,session-65a04795a47b9
2047,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,10,35591,0.0-1.1-0.9,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,1,session-65a04795a47b9
1432,Could someone find an alligator under their bed?,1,practice,1,1,html-keyboard-response,11,37025,0.0-1.1-0.10,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,1,session-65a04795a47b9
3084,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,12,40112,0.0-1.1-0.11,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,1,session-65a04795a47b9
1344,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,13,41457,0.0-1.1-0.12,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,1,session-65a04795a47b9
1217,Could someone lock a door with a day?,0,practice,0,1,html-keyboard-response,14,42677,0.0-1.1-0.13,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,1,session-65a04795a47b9
1455,Could someone eat vegetables for dinner?,1,practice,1,1,html-keyboard-response,15,44134,0.0-1.1-0.14,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,1,session-65a04795a47b9
1728,Could someone smash a pumpkin with sadness?,0,practice,0,1,html-keyboard-response,16,45864,0.0-1.1-0.15,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,True,1,session-65a04795a47b9
2431,Could someone drink a glass of water?,1,practice,1,1,html-keyboard-response,1,17154,0.0-1.0-0.0,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,0,session-65a0480f36680
1374,Could someone move furniture with their mind?,0,practice,0,1,html-keyboard-response,2,18528,0.0-1.0-0.1,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,0,session-65a0480f36680
1612,Could someone find an alligator under their bed?,0,practice,1,1,html-keyboard-response,3,20140,0.0-1.0-0.2,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,False,0,session-65a0480f36680
1572,Could someone pour a glass of honey?,1,practice,1,1,html-keyboard-response,4,21712,0.0-1.0-0.3,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,0,session-65a0480f36680
1326,Could someone put the moon in a soda can?,0,practice,0,1,html-keyboard-response,5,23038,0.0-1.0-0.4,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,True,0,session-65a0480f36680
