rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,task_type,session_file_id,language,gender,feedback
15890,survey-text,46,115648,0.0-4.0,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,survey,session-65a04185c5cb4,English,Male,
4831,survey-text,54,115273,0.0-4.0,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,survey,session-65a04795a47b9,english,,
19801,survey-text,54,118603,0.0-4.0,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,survey,session-65a0480f36680,English,Male,Fun task/survey invite me to more 
5709,survey-text,54,99573,0.0-4.0,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,survey,session-65a0480f911e6,english,male,
47573,survey-text,46,137976,0.0-4.0,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,survey,session-65a05b470364e,English,female,The only question I found a little confusing was about baking a cake using a refrigerator. Some recipes call for the batter to be chilled in a refrigerator before baking. I know the refrigerator technically is not used for baking. :-)
17671,survey-text,78,228655,0.0-4.0,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,survey,session-65a05b7603cc7,English,female,
12898,survey-text,46,153589,0.0-4.0,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,survey,session-65a04919e5681,English,Male,
6671,survey-text,46,116532,0.0-4.0,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,survey,session-65a04040ce87a,English,Male,
14785,survey-text,54,345406,0.0-4.0,anon_subject_192,659f04805339f753c1b65235,65a02a8b15177d3861dbe02e,0.7261492057711199,survey,session-65a02c23dc123,English,Female,
41982,survey-text,46,131306,0.0-4.0,anon_subject_69,659f04805339f753c1b65235,65a0471c5068c51fec46d7ee,0.492064134132981,survey,session-65a047aba18b0,English,Male,"I feel like the ""hide a gift using concepts"" isn't cut an dry as it was meant to be."
10643,survey-text,46,86197,0.0-4.0,anon_subject_149,659f04805339f753c1b65235,65a0473a461451c85ed4f43e,0.9785815176210615,survey,session-65a0479944049,enlgish,female,this was fun - enjoyed it alot
8218,survey-text,46,119624,0.0-4.0,anon_subject_122,659f04805339f753c1b65235,65a03fd56bac4df6251b8e9a,0.2970422426465522,survey,session-65a0405d43889,English,Male,
10558,survey-text,46,90784,0.0-4.0,anon_subject_260,659f04805339f753c1b65235,65a05a7e0f99dc411697c9da,0.41642503139060016,survey,session-65a05ae85fd46,English,Male,
8505,survey-text,54,132157,0.0-4.0,anon_subject_18,659f04805339f753c1b65235,65a03fde5747bb3166d4efa7,0.22086302821812365,survey,session-65a0406e32d44,English,female,
14240,survey-text,46,104130,0.0-4.0,anon_subject_115,659f04805339f753c1b65235,65a03f5a9b6bc005fb6bdd8c,0.023534266892762945,survey,session-65a042c51f700,english,female,
9857,survey-text,94,200007,0.0-4.0,anon_subject_273,659f04805339f753c1b65235,65a03edbe1f78d9853e38d4a,0.06950995915245839,survey,session-65a03fbee4532,English,Female,
