rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,session_file_id,task,success,completion_time,exp_type
935.0,"
    <div class=""jspsych-content"" align=left style=""width:100%;text-align: left;"">
    <p>Congratulations, you finished the practice trials! Now we will move on to the experiment.</p>
    <p>Remember, your task is the following:
    <p>
    <ul>
      <li>Read each question carefully.</li>
      <li>Answer whether the thing in the question can or cannot be done, based on what is possible given the physical laws of the real world.</li>
      <li>You will answer by pressing the <b>""1""</b> key for YES, or the <b>""0""</b> key for NO.</li>
      <li>Respond as quickly as you can.</li>
    </ul>
    <br>
  <p>Press SPACEBAR to begin the experiment.</p>
  </div>", ,html-keyboard-response,9.0,44742.0,0.0-2.0,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,11.0,48399.0,0.0-3.0-1.0,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,13.0,50724.0,0.0-3.0-1.1,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,15.0,53443.0,0.0-3.0-1.2,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,17.0,56547.0,0.0-3.0-1.3,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,19.0,59145.0,0.0-3.0-1.4,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,21.0,62258.0,0.0-3.0-1.5,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,23.0,65555.0,0.0-3.0-1.6,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,25.0,68675.0,0.0-3.0-1.7,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,27.0,71433.0,0.0-3.0-1.8,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,29.0,76615.0,0.0-3.0-1.9,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,31.0,79380.0,0.0-3.0-1.10,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,33.0,82594.0,0.0-3.0-1.11,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,35.0,85691.0,0.0-3.0-1.12,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,37.0,88377.0,0.0-3.0-1.13,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,39.0,90783.0,0.0-3.0-1.14,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,41.0,93537.0,0.0-3.0-1.15,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,43.0,96061.0,0.0-3.0-1.16,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,45.0,99749.0,0.0-3.0-1.17,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,session-65a04185c5cb4,prompt,,,
,,,,,,,,,,,session-65a04185c5cb4,,True,2024-01-11T19:29:05.666Z,gesture-beat-expt-pilot
20364.0,"
    <div class=""jspsych-content"" align=left style=""width:100%;text-align: left;"">
    <p>Congratulations, you finished the practice trials! Now we will move on to the experiment.</p>
    <p>Remember, your task is the following:
    <p>
    <ul>
      <li>Read each question carefully.</li>
      <li>Answer whether the thing in the question can or cannot be done, based on what is possible given the physical laws of the real world.</li>
      <li>You will answer by pressing the <b>""1""</b> key for YES, or the <b>""0""</b> key for NO.</li>
      <li>Respond as quickly as you can.</li>
    </ul>
    <br>
  <p>Press SPACEBAR to begin the experiment.</p>
  </div>", ,html-keyboard-response,17.0,66231.0,0.0-2.0,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,19.0,70906.0,0.0-3.0-1.0,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,21.0,73575.0,0.0-3.0-1.1,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,23.0,75824.0,0.0-3.0-1.2,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,25.0,78257.0,0.0-3.0-1.3,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,27.0,80592.0,0.0-3.0-1.4,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,29.0,82754.0,0.0-3.0-1.5,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,31.0,85070.0,0.0-3.0-1.6,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,33.0,87225.0,0.0-3.0-1.7,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,35.0,89848.0,0.0-3.0-1.8,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,37.0,92188.0,0.0-3.0-1.9,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,39.0,94254.0,0.0-3.0-1.10,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,41.0,96295.0,0.0-3.0-1.11,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,43.0,98490.0,0.0-3.0-1.12,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,45.0,100672.0,0.0-3.0-1.13,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,47.0,102923.0,0.0-3.0-1.14,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,49.0,105195.0,0.0-3.0-1.15,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,51.0,107363.0,0.0-3.0-1.16,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,53.0,110418.0,0.0-3.0-1.17,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,session-65a04795a47b9,prompt,,,
,,,,,,,,,,,session-65a04795a47b9,,True,2024-01-11T19:55:01.623Z,gesture-beat-expt-pilot
2615.0,"
    <div class=""jspsych-content"" align=left style=""width:100%;text-align: left;"">
    <p>Congratulations, you finished the practice trials! Now we will move on to the experiment.</p>
    <p>Remember, your task is the following:
    <p>
    <ul>
      <li>Read each question carefully.</li>
      <li>Answer whether the thing in the question can or cannot be done, based on what is possible given the physical laws of the real world.</li>
      <li>You will answer by pressing the <b>""1""</b> key for YES, or the <b>""0""</b> key for NO.</li>
      <li>Respond as quickly as you can.</li>
    </ul>
    <br>
  <p>Press SPACEBAR to begin the experiment.</p>
  </div>", ,html-keyboard-response,17.0,47931.0,0.0-2.0,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,session-65a0480f36680,,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,19.0,51263.0,0.0-3.0-1.0,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,session-65a0480f36680,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,21.0,54151.0,0.0-3.0-1.1,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,session-65a0480f36680,prompt,,,
,"
  <div style=""font-size:20px;"">
      <p>Your response has been logged.</p>
  </div>
  ",,html-keyboard-response,23.0,56860.0,0.0-3.0-1.2,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,session-65a0480f36680,prompt,,,
