"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","condition","probable","improbable",0,2.66435550258271,0.902171268506298,4.42653973665912,0.00032,"***"
"2","condition","probable","impossible_physics",0,5.53101307995772,3.76882884588131,7.29319731403413,1.44e-15,"****"
"3","condition","probable","impossible_magic",0,7.08902443126232,5.32684019718591,8.85120866533873,0,"****"
"4","condition","probable","inconceivable_semantic",0,8.01589900579613,6.25371477171972,9.77808323987255,0,"****"
"5","condition","probable","inconceivable_syntactic",0,10.4396645121431,8.67748027806674,12.2018487462196,0,"****"
"6","condition","improbable","impossible_physics",0,2.86665757737501,1.1044733432986,4.62884181145142,8.06e-05,"****"
"7","condition","improbable","impossible_magic",0,4.42466892867961,2.6624846946032,6.18685316275602,2.13e-10,"****"
"8","condition","improbable","inconceivable_semantic",0,5.35154350321343,3.58935926913702,7.11372773728984,2.48e-14,"****"
"9","condition","improbable","inconceivable_syntactic",0,7.77530900956044,6.01312477548403,9.53749324363685,0,"****"
"10","condition","impossible_physics","impossible_magic",0,1.5580113513046,-0.204172882771814,3.32019558538101,0.116,"ns"
"11","condition","impossible_physics","inconceivable_semantic",0,2.48488592583841,0.722701691762003,4.24707015991483,0.00102,"**"
"12","condition","impossible_physics","inconceivable_syntactic",0,4.90865143218543,3.14646719810902,6.67083566626184,2.14e-12,"****"
"13","condition","impossible_magic","inconceivable_semantic",0,0.926874574533818,-0.835309659542593,2.68905880861023,0.655,"ns"
"14","condition","impossible_magic","inconceivable_syntactic",0,3.35064008088083,1.58845584680442,5.11282431495724,2.19e-06,"****"
"15","condition","inconceivable_semantic","inconceivable_syntactic",0,2.42376550634701,0.661581272270601,4.18594974042342,0.00149,"**"
