item_id,eval_prefix,condition,continuation,token_idx,token,token_logprob,is_continuation_token,model
0,He baked a cake inside,probable,an oven.,0,He,0.0,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,probable,an oven.,1,Ġbaked,-9.989867210388184,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,probable,an oven.,2,Ġa,-2.109712600708008,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,probable,an oven.,3,Ġcake,-1.2701635360717773,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,probable,an oven.,4,Ġinside,-8.424898147583008,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,probable,an oven.,5,Ġan,-3.8927125930786133,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,probable,an oven.,6,Ġoven,-2.1552505493164062,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,probable,an oven.,7,.,-2.1110706329345703,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,0,He,0.0,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,1,Ġbaked,-9.9898681640625,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,2,Ġa,-2.1097068786621094,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,3,Ġcake,-1.2701635360717773,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,4,Ġinside,-8.424899101257324,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,5,Ġan,-3.8927078247070312,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,6,Ġair,-3.8085031509399414,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,7,f,-5.573227882385254,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,8,ry,-0.017469406127929688,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,9,er,-0.0016994476318359375,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,improbable,an airfryer.,10,.,-1.380697250366211,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,impossible,a freezer.,0,He,0.0,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,impossible,a freezer.,1,Ġbaked,-9.989867210388184,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,impossible,a freezer.,2,Ġa,-2.109712600708008,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,impossible,a freezer.,3,Ġcake,-1.2701635360717773,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,impossible,a freezer.,4,Ġinside,-8.424898147583008,False,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,impossible,a freezer.,5,Ġa,-1.5045814514160156,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,impossible,a freezer.,6,Ġfreezer,-8.541293144226074,True,allenai/OLMo-7B-0424-hf
0,He baked a cake inside,impossible,a freezer.,7,.,-1.9866724014282227,True,allenai/OLMo-7B-0424-hf
