item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model,revision
0,He baked a cake inside,probable,an oven.,-8.15903377532959,-2.7196779251098633,allenai/OLMo-7B-0424-hf,step151500-tokens635B
0,He baked a cake inside,improbable,an airfryer.,-14.674304962158203,-2.4457174936930337,allenai/OLMo-7B-0424-hf,step151500-tokens635B
0,He baked a cake inside,impossible,a freezer.,-12.032546997070312,-4.0108489990234375,allenai/OLMo-7B-0424-hf,step151500-tokens635B
0,He baked a cake inside,inconceivable,a sigh.,-16.785030364990234,-5.595010121663411,allenai/OLMo-7B-0424-hf,step151500-tokens635B
0,He baked a cake inside,inconceivable_syntactic,grasp.,-19.08204174041748,-9.54102087020874,allenai/OLMo-7B-0424-hf,step151500-tokens635B
1,He boiled water using,probable,a kettle.,-5.347087860107422,-1.3367719650268555,allenai/OLMo-7B-0424-hf,step151500-tokens635B
1,He boiled water using,improbable,a microwave.,-6.175902366638184,-2.058634122212728,allenai/OLMo-7B-0424-hf,step151500-tokens635B
1,He boiled water using,impossible,a refrigerator.,-13.77170467376709,-4.59056822458903,allenai/OLMo-7B-0424-hf,step151500-tokens635B
1,He boiled water using,inconceivable,justice.,-18.440473556518555,-9.220236778259277,allenai/OLMo-7B-0424-hf,step151500-tokens635B
1,He boiled water using,inconceivable_syntactic,began.,-19.761695861816406,-9.880847930908203,allenai/OLMo-7B-0424-hf,step151500-tokens635B
2,He broke a coconut using,probable,a rock.,-5.596661567687988,-1.865553855895996,allenai/OLMo-7B-0424-hf,step151500-tokens635B
2,He broke a coconut using,improbable,a table.,-11.351140022277832,-3.7837133407592773,allenai/OLMo-7B-0424-hf,step151500-tokens635B
2,He broke a coconut using,impossible,a pillow.,-11.850781440734863,-3.9502604802449546,allenai/OLMo-7B-0424-hf,step151500-tokens635B
2,He broke a coconut using,inconceivable,a texture.,-17.294586181640625,-5.764862060546875,allenai/OLMo-7B-0424-hf,step151500-tokens635B
2,He broke a coconut using,inconceivable_syntactic,of.,-15.170804023742676,-7.585402011871338,allenai/OLMo-7B-0424-hf,step151500-tokens635B
3,He built a house out of,probable,brick.,-8.079665184020996,-4.039832592010498,allenai/OLMo-7B-0424-hf,step151500-tokens635B
3,He built a house out of,improbable,grass.,-8.484885215759277,-4.242442607879639,allenai/OLMo-7B-0424-hf,step151500-tokens635B
3,He built a house out of,impossible,gas.,-13.274433135986328,-6.637216567993164,allenai/OLMo-7B-0424-hf,step151500-tokens635B
3,He built a house out of,inconceivable,language.,-11.884257316589355,-5.942128658294678,allenai/OLMo-7B-0424-hf,step151500-tokens635B
3,He built a house out of,inconceivable_syntactic,at.,-18.029315948486328,-9.014657974243164,allenai/OLMo-7B-0424-hf,step151500-tokens635B
4,He built a bridge out of,probable,steel.,-8.630480766296387,-4.315240383148193,allenai/OLMo-7B-0424-hf,step151500-tokens635B
4,He built a bridge out of,improbable,plastic.,-8.697461128234863,-4.348730564117432,allenai/OLMo-7B-0424-hf,step151500-tokens635B
4,He built a bridge out of,impossible,soup.,-13.715150833129883,-6.857575416564941,allenai/OLMo-7B-0424-hf,step151500-tokens635B
4,He built a bridge out of,inconceivable,dance.,-13.706098556518555,-6.853049278259277,allenai/OLMo-7B-0424-hf,step151500-tokens635B
4,He built a bridge out of,inconceivable_syntactic,fell.,-17.98036289215088,-8.99018144607544,allenai/OLMo-7B-0424-hf,step151500-tokens635B
5,He called a friend using,probable,a phone.,-9.843424797058105,-3.2811415990193686,allenai/OLMo-7B-0424-hf,step151500-tokens635B
5,He called a friend using,improbable,a laptop.,-11.881942749023438,-3.9606475830078125,allenai/OLMo-7B-0424-hf,step151500-tokens635B
5,He called a friend using,impossible,a sandwich.,-15.611391067504883,-5.203797022501628,allenai/OLMo-7B-0424-hf,step151500-tokens635B
5,He called a friend using,inconceivable,mass.,-17.5465087890625,-8.77325439453125,allenai/OLMo-7B-0424-hf,step151500-tokens635B
5,He called a friend using,inconceivable_syntactic,with.,-14.74852466583252,-7.37426233291626,allenai/OLMo-7B-0424-hf,step151500-tokens635B
6,He carried groceries inside,probable,a tote bag.,-12.44091510772705,-2.48818302154541,allenai/OLMo-7B-0424-hf,step151500-tokens635B
6,He carried groceries inside,improbable,a backpack.,-9.469710350036621,-3.1565701166788735,allenai/OLMo-7B-0424-hf,step151500-tokens635B
6,He carried groceries inside,impossible,a tornado.,-16.994945526123047,-5.664981842041016,allenai/OLMo-7B-0424-hf,step151500-tokens635B
6,He carried groceries inside,inconceivable,a law.,-21.33749294281006,-7.112497647603353,allenai/OLMo-7B-0424-hf,step151500-tokens635B
6,He carried groceries inside,inconceivable_syntactic,give.,-18.648967742919922,-9.324483871459961,allenai/OLMo-7B-0424-hf,step151500-tokens635B
7,He carved a statue using,probable,a chisel.,-7.120362281799316,-1.780090570449829,allenai/OLMo-7B-0424-hf,step151500-tokens635B
7,He carved a statue using,improbable,a nail.,-11.130375862121582,-3.710125287373861,allenai/OLMo-7B-0424-hf,step151500-tokens635B
