item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model,revision
0,He baked a cake inside,probable,an oven.,-13.923285484313965,-4.641095161437988,allenai/OLMo-7B-0424-hf,step1000-tokens4B
0,He baked a cake inside,improbable,an airfryer.,-31.82369899749756,-5.30394983291626,allenai/OLMo-7B-0424-hf,step1000-tokens4B
0,He baked a cake inside,impossible,a freezer.,-15.327437400817871,-5.109145800272624,allenai/OLMo-7B-0424-hf,step1000-tokens4B
0,He baked a cake inside,inconceivable,a sigh.,-14.621858596801758,-4.873952865600586,allenai/OLMo-7B-0424-hf,step1000-tokens4B
0,He baked a cake inside,inconceivable_syntactic,grasp.,-14.753130912780762,-7.376565456390381,allenai/OLMo-7B-0424-hf,step1000-tokens4B
1,He boiled water using,probable,a kettle.,-23.279239654541016,-5.819809913635254,allenai/OLMo-7B-0424-hf,step1000-tokens4B
1,He boiled water using,improbable,a microwave.,-15.927957534790039,-5.309319178263347,allenai/OLMo-7B-0424-hf,step1000-tokens4B
1,He boiled water using,impossible,a refrigerator.,-17.675960540771484,-5.891986846923828,allenai/OLMo-7B-0424-hf,step1000-tokens4B
1,He boiled water using,inconceivable,justice.,-13.089736938476562,-6.544868469238281,allenai/OLMo-7B-0424-hf,step1000-tokens4B
1,He boiled water using,inconceivable_syntactic,began.,-12.845381736755371,-6.4226908683776855,allenai/OLMo-7B-0424-hf,step1000-tokens4B
2,He broke a coconut using,probable,a rock.,-12.83986759185791,-4.279955863952637,allenai/OLMo-7B-0424-hf,step1000-tokens4B
2,He broke a coconut using,improbable,a table.,-11.589713096618652,-3.8632376988728843,allenai/OLMo-7B-0424-hf,step1000-tokens4B
2,He broke a coconut using,impossible,a pillow.,-12.865439414978027,-4.288479804992676,allenai/OLMo-7B-0424-hf,step1000-tokens4B
2,He broke a coconut using,inconceivable,a texture.,-15.308091163635254,-5.102697054545085,allenai/OLMo-7B-0424-hf,step1000-tokens4B
2,He broke a coconut using,inconceivable_syntactic,of.,-11.083309650421143,-5.541654825210571,allenai/OLMo-7B-0424-hf,step1000-tokens4B
3,He built a house out of,probable,brick.,-11.991631507873535,-5.995815753936768,allenai/OLMo-7B-0424-hf,step1000-tokens4B
3,He built a house out of,improbable,grass.,-10.060611724853516,-5.030305862426758,allenai/OLMo-7B-0424-hf,step1000-tokens4B
3,He built a house out of,impossible,gas.,-9.641120433807373,-4.8205602169036865,allenai/OLMo-7B-0424-hf,step1000-tokens4B
3,He built a house out of,inconceivable,language.,-11.073189735412598,-5.536594867706299,allenai/OLMo-7B-0424-hf,step1000-tokens4B
3,He built a house out of,inconceivable_syntactic,at.,-14.631860256195068,-7.315930128097534,allenai/OLMo-7B-0424-hf,step1000-tokens4B
4,He built a bridge out of,probable,steel.,-9.613263130187988,-4.806631565093994,allenai/OLMo-7B-0424-hf,step1000-tokens4B
4,He built a bridge out of,improbable,plastic.,-9.976332664489746,-4.988166332244873,allenai/OLMo-7B-0424-hf,step1000-tokens4B
4,He built a bridge out of,impossible,soup.,-13.3345365524292,-6.6672682762146,allenai/OLMo-7B-0424-hf,step1000-tokens4B
4,He built a bridge out of,inconceivable,dance.,-10.333800315856934,-5.166900157928467,allenai/OLMo-7B-0424-hf,step1000-tokens4B
4,He built a bridge out of,inconceivable_syntactic,fell.,-17.1589298248291,-8.57946491241455,allenai/OLMo-7B-0424-hf,step1000-tokens4B
5,He called a friend using,probable,a phone.,-10.821149826049805,-3.6070499420166016,allenai/OLMo-7B-0424-hf,step1000-tokens4B
5,He called a friend using,improbable,a laptop.,-13.430030822753906,-4.476676940917969,allenai/OLMo-7B-0424-hf,step1000-tokens4B
5,He called a friend using,impossible,a sandwich.,-14.621879577636719,-4.873959859212239,allenai/OLMo-7B-0424-hf,step1000-tokens4B
5,He called a friend using,inconceivable,mass.,-12.411076545715332,-6.205538272857666,allenai/OLMo-7B-0424-hf,step1000-tokens4B
5,He called a friend using,inconceivable_syntactic,with.,-13.100469589233398,-6.550234794616699,allenai/OLMo-7B-0424-hf,step1000-tokens4B
6,He carried groceries inside,probable,a tote bag.,-30.712984561920166,-6.142596912384033,allenai/OLMo-7B-0424-hf,step1000-tokens4B
6,He carried groceries inside,improbable,a backpack.,-19.96703338623047,-6.655677795410156,allenai/OLMo-7B-0424-hf,step1000-tokens4B
6,He carried groceries inside,impossible,a tornado.,-17.214344024658203,-5.738114674886067,allenai/OLMo-7B-0424-hf,step1000-tokens4B
6,He carried groceries inside,inconceivable,a law.,-16.105758666992188,-5.3685862223307295,allenai/OLMo-7B-0424-hf,step1000-tokens4B
