item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model,revision
0,He baked a cake inside,probable,an oven.,-6.918733596801758,-2.3062445322672525,allenai/OLMo-7B-0424-hf,step17500-tokens73B
0,He baked a cake inside,improbable,an airfryer.,-18.085657119750977,-3.0142761866251626,allenai/OLMo-7B-0424-hf,step17500-tokens73B
0,He baked a cake inside,impossible,a freezer.,-9.266303062438965,-3.088767687479655,allenai/OLMo-7B-0424-hf,step17500-tokens73B
0,He baked a cake inside,inconceivable,a sigh.,-17.734156608581543,-5.911385536193848,allenai/OLMo-7B-0424-hf,step17500-tokens73B
0,He baked a cake inside,inconceivable_syntactic,grasp.,-21.194750785827637,-10.597375392913818,allenai/OLMo-7B-0424-hf,step17500-tokens73B
1,He boiled water using,probable,a kettle.,-6.3167619705200195,-1.5791904926300049,allenai/OLMo-7B-0424-hf,step17500-tokens73B
1,He boiled water using,improbable,a microwave.,-9.431407928466797,-3.1438026428222656,allenai/OLMo-7B-0424-hf,step17500-tokens73B
1,He boiled water using,impossible,a refrigerator.,-14.578189849853516,-4.859396616617839,allenai/OLMo-7B-0424-hf,step17500-tokens73B
1,He boiled water using,inconceivable,justice.,-18.00499439239502,-9.00249719619751,allenai/OLMo-7B-0424-hf,step17500-tokens73B
1,He boiled water using,inconceivable_syntactic,began.,-18.007123947143555,-9.003561973571777,allenai/OLMo-7B-0424-hf,step17500-tokens73B
2,He broke a coconut using,probable,a rock.,-10.373605728149414,-3.4578685760498047,allenai/OLMo-7B-0424-hf,step17500-tokens73B
2,He broke a coconut using,improbable,a table.,-11.813343048095703,-3.937781016031901,allenai/OLMo-7B-0424-hf,step17500-tokens73B
2,He broke a coconut using,impossible,a pillow.,-12.41161060333252,-4.137203534444173,allenai/OLMo-7B-0424-hf,step17500-tokens73B
2,He broke a coconut using,inconceivable,a texture.,-18.606840133666992,-6.202280044555664,allenai/OLMo-7B-0424-hf,step17500-tokens73B
2,He broke a coconut using,inconceivable_syntactic,of.,-15.719849586486816,-7.859924793243408,allenai/OLMo-7B-0424-hf,step17500-tokens73B
3,He built a house out of,probable,brick.,-7.602542877197266,-3.801271438598633,allenai/OLMo-7B-0424-hf,step17500-tokens73B
3,He built a house out of,improbable,grass.,-11.106620788574219,-5.553310394287109,allenai/OLMo-7B-0424-hf,step17500-tokens73B
3,He built a house out of,impossible,gas.,-13.899139404296875,-6.9495697021484375,allenai/OLMo-7B-0424-hf,step17500-tokens73B
3,He built a house out of,inconceivable,language.,-13.91671085357666,-6.95835542678833,allenai/OLMo-7B-0424-hf,step17500-tokens73B
3,He built a house out of,inconceivable_syntactic,at.,-17.51125717163086,-8.75562858581543,allenai/OLMo-7B-0424-hf,step17500-tokens73B
4,He built a bridge out of,probable,steel.,-6.849334716796875,-3.4246673583984375,allenai/OLMo-7B-0424-hf,step17500-tokens73B
4,He built a bridge out of,improbable,plastic.,-8.832344055175781,-4.416172027587891,allenai/OLMo-7B-0424-hf,step17500-tokens73B
4,He built a bridge out of,impossible,soup.,-12.096602439880371,-6.0483012199401855,allenai/OLMo-7B-0424-hf,step17500-tokens73B
4,He built a bridge out of,inconceivable,dance.,-17.419865608215332,-8.709932804107666,allenai/OLMo-7B-0424-hf,step17500-tokens73B
4,He built a bridge out of,inconceivable_syntactic,fell.,-18.228832244873047,-9.114416122436523,allenai/OLMo-7B-0424-hf,step17500-tokens73B
5,He called a friend using,probable,a phone.,-9.578757286071777,-3.1929190953572593,allenai/OLMo-7B-0424-hf,step17500-tokens73B
