item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model
0,He baked a cake inside,probable,an oven.,-7.891720771789551,-2.630573590596517,meta-llama/Meta-Llama-3-70B
0,He baked a cake inside,improbable,an airfryer.,-15.416047096252441,-2.5693411827087402,meta-llama/Meta-Llama-3-70B
0,He baked a cake inside,impossible,a freezer.,-10.910087585449219,-3.6366958618164062,meta-llama/Meta-Llama-3-70B
0,He baked a cake inside,inconceivable,a sigh.,-18.41061496734619,-6.1368716557820635,meta-llama/Meta-Llama-3-70B
0,He baked a cake inside,inconceivable_syntactic,grasp.,-23.747451782226562,-11.873725891113281,meta-llama/Meta-Llama-3-70B
1,He boiled water using,probable,a kettle.,-7.500165939331055,-2.5000553131103516,meta-llama/Meta-Llama-3-70B
1,He boiled water using,improbable,a microwave.,-8.01745891571045,-2.6724863052368164,meta-llama/Meta-Llama-3-70B
1,He boiled water using,impossible,a refrigerator.,-12.50154972076416,-4.16718324025472,meta-llama/Meta-Llama-3-70B
1,He boiled water using,inconceivable,justice.,-17.079787254333496,-8.539893627166748,meta-llama/Meta-Llama-3-70B
1,He boiled water using,inconceivable_syntactic,began.,-20.93253803253174,-10.46626901626587,meta-llama/Meta-Llama-3-70B
2,He broke a coconut using,probable,a rock.,-8.124307632446289,-2.708102544148763,meta-llama/Meta-Llama-3-70B
2,He broke a coconut using,improbable,a table.,-12.379435062408447,-4.126478354136149,meta-llama/Meta-Llama-3-70B
2,He broke a coconut using,impossible,a pillow.,-11.733736038208008,-3.911245346069336,meta-llama/Meta-Llama-3-70B
2,He broke a coconut using,inconceivable,a texture.,-18.72454833984375,-6.24151611328125,meta-llama/Meta-Llama-3-70B
2,He broke a coconut using,inconceivable_syntactic,of.,-17.01992416381836,-8.50996208190918,meta-llama/Meta-Llama-3-70B
3,He built a house out of,probable,brick.,-8.4732084274292,-4.2366042137146,meta-llama/Meta-Llama-3-70B
3,He built a house out of,improbable,grass.,-8.968526840209961,-4.4842634201049805,meta-llama/Meta-Llama-3-70B
3,He built a house out of,impossible,gas.,-13.021797180175781,-6.510898590087891,meta-llama/Meta-Llama-3-70B
3,He built a house out of,inconceivable,language.,-12.06860637664795,-6.034303188323975,meta-llama/Meta-Llama-3-70B
3,He built a house out of,inconceivable_syntactic,at.,-16.870943069458008,-8.435471534729004,meta-llama/Meta-Llama-3-70B
4,He built a bridge out of,probable,steel.,-8.733892440795898,-4.366946220397949,meta-llama/Meta-Llama-3-70B
4,He built a bridge out of,improbable,plastic.,-8.51003360748291,-4.255016803741455,meta-llama/Meta-Llama-3-70B
4,He built a bridge out of,impossible,soup.,-13.11072063446045,-6.555360317230225,meta-llama/Meta-Llama-3-70B
4,He built a bridge out of,inconceivable,dance.,-14.206991195678711,-7.1034955978393555,meta-llama/Meta-Llama-3-70B
