item_id,condition,continuation,approx,count,latency,token_ids,tokens,n_tokens
0,probable,an oven,False,192,0.4048347473144531,"[281, 14361]","['Ġan', 'Ġoven']",2
0,improbable,an airfryer,False,0,0.33473968505859375,"[281, 1633, 69, 563, 263]","['Ġan', 'Ġair', 'f', 'ry', 'er']",5
0,impossible,a freezer,False,69,0.34356117248535156,"[257, 30967]","['Ġa', 'Ġfreezer']",2
0,inconceivable,a sigh,False,437,0.31685829162597656,"[257, 19680]","['Ġa', 'Ġsigh']",2
0,inconceivable_syntactic,grasp,False,1776,0.3292560577392578,[13180],['Ġgrasp'],1
1,probable,a kettle,False,58,0.324249267578125,"[257, 40231]","['Ġa', 'Ġkettle']",2
1,improbable,a microwave,False,188,0.31065940856933594,"[257, 27000]","['Ġa', 'Ġmicrowave']",2
1,impossible,a refrigerator,False,144,0.3101825714111328,"[257, 30500]","['Ġa', 'Ġrefrigerator']",2
1,inconceivable,justice,False,7511,0.3364086151123047,[5316],['Ġjustice'],1
1,inconceivable_syntactic,began,False,26091,0.316619873046875,[2540],['Ġbegan'],1
2,probable,a rock,False,873,0.31113624572753906,"[257, 3881]","['Ġa', 'Ġrock']",2
2,improbable,a table,False,2345,0.308990478515625,"[257, 3084]","['Ġa', 'Ġtable']",2
2,impossible,a pillow,False,208,0.31495094299316406,"[257, 28774]","['Ġa', 'Ġpillow']",2
2,inconceivable,a texture,False,122,0.3273487091064453,"[257, 11743]","['Ġa', 'Ġtexture']",2
2,inconceivable_syntactic,of,False,5445143,0.3323554992675781,[286],['Ġof'],1
3,probable,brick,False,1967,0.33664703369140625,[17214],['Ġbrick'],1
3,improbable,grass,False,4870,0.3464221954345703,[8701],['Ġgrass'],1
3,impossible,gas,False,21820,0.3235340118408203,[3623],['Ġgas'],1
3,inconceivable,language,False,24102,0.33354759216308594,[3303],['Ġlanguage'],1
3,inconceivable_syntactic,at,False,791313,0.3325939178466797,[379],['Ġat'],1
4,probable,steel,False,5310,0.32901763916015625,[7771],['Ġsteel'],1
4,improbable,plastic,False,7762,0.3209114074707031,[7309],['Ġplastic'],1
4,impossible,soup,False,1980,0.32973289489746094,[17141],['Ġsoup'],1
4,inconceivable,dance,False,5616,0.3323554992675781,[9280],['Ġdance'],1
4,inconceivable_syntactic,fell,False,11003,0.34427642822265625,[3214],['Ġfell'],1
5,probable,a phone,False,1272,0.3266334533691406,"[257, 3072]","['Ġa', 'Ġphone']",2
5,improbable,a laptop,False,414,0.3113746643066406,"[257, 13224]","['Ġa', 'Ġlaptop']",2
5,impossible,a sandwich,False,288,0.32401084899902344,"[257, 20433]","['Ġa', 'Ġsandwich']",2
5,inconceivable,mass,False,28354,0.32830238342285156,[2347],['Ġmass'],1
5,inconceivable_syntactic,with,False,1330755,0.3287792205810547,[351],['Ġwith'],1
6,probable,a tote bag,False,9,0.3325939178466797,"[257, 284, 660, 6131]","['Ġa', 'Ġto', 'te', 'Ġbag']",4
6,improbable,a backpack,False,121,0.31876564025878906,"[257, 22526]","['Ġa', 'Ġbackpack']",2
6,impossible,a tornado,False,150,0.3032684326171875,"[257, 33718]","['Ġa', 'Ġtornado']",2
6,inconceivable,a law,False,1554,0.3039836883544922,"[257, 1099]","['Ġa', 'Ġlaw']",2
6,inconceivable_syntactic,give,False,54322,0.3223419189453125,[1577],['Ġgive'],1
7,probable,a chisel,False,34,0.3108978271484375,"[257, 442, 36811]","['Ġa', 'Ġch', 'isel']",3
7,improbable,a nail,False,181,0.31185150146484375,"[257, 17864]","['Ġa', 'Ġnail']",2
7,impossible,a sock,False,65,0.31065940856933594,"[257, 32263]","['Ġa', 'Ġsock']",2
7,inconceivable,laughter,False,1709,0.31876564025878906,[20263],['Ġlaughter'],1
7,inconceivable_syntactic,forget,False,7018,0.32782554626464844,[6044],['Ġforget'],1
8,probable,a lake,False,250,0.30684471130371094,"[257, 13546]","['Ġa', 'Ġlake']",2
8,improbable,a puddle,False,79,0.30541419982910156,"[257, 279, 24500]","['Ġa', 'Ġp', 'uddle']",3
8,impossible,a raindrop,False,5,0.3056526184082031,"[257, 6290, 14781]","['Ġa', 'Ġrain', 'drop']",3
8,inconceivable,an exclamation,False,87,0.3185272216796875,"[281, 409, 20931]","['Ġan', 'Ġex', 'clamation']",3
8,inconceivable_syntactic,become,False,39221,0.32830238342285156,[1716],['Ġbecome'],1
9,probable,ice,False,9577,0.33211708068847656,[4771],['Ġice'],1
9,improbable,snow,False,7175,0.32639503479003906,[6729],['Ġsnow'],1
9,impossible,fire,False,20732,0.3218650817871094,[2046],['Ġfire'],1
9,inconceivable,yesterday,False,4751,0.3180503845214844,[7415],['Ġyesterday'],1
9,inconceivable_syntactic,onto,False,15803,0.31375885009765625,[4291],['Ġonto'],1
10,probable,a knife,False,872,0.3254413604736328,"[257, 9845]","['Ġa', 'Ġknife']",2
10,improbable,a sword,False,349,0.3116130828857422,"[257, 8429]","['Ġa', 'Ġsword']",2
