item_id,prefix,eval_prefix,condition,continuation,continuation_tokens,continuation_sum_surprisal,model
1,Baking a cake using,He baked a cake using,probable,an oven.,Ġan Ġoven .,9.577379941940308,gpt2
1,Baking a cake using,He baked a cake using,improbable,an airfryer.,Ġan Ġair f ry er .,22.057408332824707,gpt2
1,Baking a cake using,He baked a cake using,impossible_physics,a refrigerator.,Ġa Ġrefrigerator .,13.174368262290955,gpt2
1,Baking a cake using,He baked a cake using,impossible_magic,superpowers.,Ġsuper powers .,15.808425188064575,gpt2
1,Baking a cake using,He baked a cake using,inconceivable_syntactic,grasp.,Ġgrasp .,18.861928462982178,gpt2
1,Baking a cake using,He baked a cake using,inconceivable_semantic,anger.,Ġanger .,14.223746538162231,gpt2
2,Carving a statue using,He carved a statue using,probable,a chisel.,Ġa Ġch isel .,10.955691687762737,gpt2
2,Carving a statue using,He carved a statue using,improbable,a toothpick.,Ġa Ġtooth pick .,11.040941566228867,gpt2
2,Carving a statue using,He carved a statue using,impossible_physics,a valley.,Ġa Ġvalley .,17.570712447166443,gpt2
2,Carving a statue using,He carved a statue using,impossible_magic,telekinesis.,Ġtele k ines is .,14.212330182017467,gpt2
2,Carving a statue using,He carved a statue using,inconceivable_syntactic,began.,Ġbegan .,19.77053928375244,gpt2
2,Carving a statue using,He carved a statue using,inconceivable_semantic,yesterday.,Ġyesterday .,18.134455680847168,gpt2
3,Using a telescope to look at,He used a telescope to look at,probable,the moon.,Ġthe Ġmoon .,5.858684599399567,gpt2
3,Using a telescope to look at,He used a telescope to look at,improbable,the sun.,Ġthe Ġsun .,6.515614449977875,gpt2
3,Using a telescope to look at,He used a telescope to look at,impossible_physics,a molecule.,Ġa Ġmolecule .,15.598480224609375,gpt2
3,Using a telescope to look at,He used a telescope to look at,impossible_magic,unicorns.,Ġunic orns .,13.919311905279756,gpt2
3,Using a telescope to look at,He used a telescope to look at,inconceivable_syntactic,of.,Ġof .,17.24724578857422,gpt2
3,Using a telescope to look at,He used a telescope to look at,inconceivable_semantic,a decade.,Ġa Ġdecade .,18.45971703529358,gpt2
4,Chilling a drink using,He chilled a drink using,probable,ice.,Ġice .,7.229902267456055,gpt2
4,Chilling a drink using,He chilled a drink using,improbable,snow.,Ġsnow .,12.77041482925415,gpt2
4,Chilling a drink using,He chilled a drink using,impossible_physics,fire.,Ġfire .,11.424784898757935,gpt2
4,Chilling a drink using,He chilled a drink using,impossible_magic,pixies.,Ġp ix ies .,17.5771022439003,gpt2
4,Chilling a drink using,He chilled a drink using,inconceivable_syntactic,at.,Ġat .,19.02572536468506,gpt2
4,Chilling a drink using,He chilled a drink using,inconceivable_semantic,tomorrow.,Ġtomorrow .,18.652509212493896,gpt2
5,Washing dishes using,He washed dishes using,probable,soap.,Ġsoap .,7.5772318840026855,gpt2
5,Washing dishes using,He washed dishes using,improbable,rain.,Ġrain .,12.861896514892578,gpt2
5,Washing dishes using,He washed dishes using,impossible_physics,lightning.,Ġlightning .,13.642780065536499,gpt2
5,Washing dishes using,He washed dishes using,impossible_magic,fairies.,Ġfair ies .,15.436916828155518,gpt2
