item_id,prefix,eval_prefix,condition,continuation,continuation_tokens,continuation_sum_surprisal,model
1,Baking a cake using,He baked a cake using,probable,an oven.,▁an ▁o ven .,8.598410822451115,meta-llama/Llama-2-7b-hf
1,Baking a cake using,He baked a cake using,improbable,an airfryer.,▁an ▁air f ry er .,13.853918667184189,meta-llama/Llama-2-7b-hf
1,Baking a cake using,He baked a cake using,impossible_physics,a refrigerator.,▁a ▁re fr iger ator .,12.20780232641846,meta-llama/Llama-2-7b-hf
1,Baking a cake using,He baked a cake using,impossible_magic,superpowers.,▁super pow ers .,14.460584960179403,meta-llama/Llama-2-7b-hf
1,Baking a cake using,He baked a cake using,inconceivable_syntactic,grasp.,▁grasp .,20.691643714904785,meta-llama/Llama-2-7b-hf
1,Baking a cake using,He baked a cake using,inconceivable_semantic,anger.,▁anger .,13.476247787475586,meta-llama/Llama-2-7b-hf
2,Carving a statue using,He carved a statue using,probable,a chisel.,▁a ▁ch is el .,6.689934279303998,meta-llama/Llama-2-7b-hf
2,Carving a statue using,He carved a statue using,improbable,a toothpick.,▁a ▁to oth pick .,9.158403068780899,meta-llama/Llama-2-7b-hf
2,Carving a statue using,He carved a statue using,impossible_physics,a valley.,▁a ▁valley .,17.21580147743225,meta-llama/Llama-2-7b-hf
2,Carving a statue using,He carved a statue using,impossible_magic,telekinesis.,▁tele k ines is .,11.461211257614195,meta-llama/Llama-2-7b-hf
2,Carving a statue using,He carved a statue using,inconceivable_syntactic,began.,▁began .,18.28447914123535,meta-llama/Llama-2-7b-hf
2,Carving a statue using,He carved a statue using,inconceivable_semantic,yesterday.,▁yesterday .,16.811806678771973,meta-llama/Llama-2-7b-hf
3,Using a telescope to look at,He used a telescope to look at,probable,the moon.,▁the ▁moon .,3.8622785806655884,meta-llama/Llama-2-7b-hf
3,Using a telescope to look at,He used a telescope to look at,improbable,the sun.,▁the ▁sun .,4.559029698371887,meta-llama/Llama-2-7b-hf
3,Using a telescope to look at,He used a telescope to look at,impossible_physics,a molecule.,▁a ▁mole c ule .,12.615353558328934,meta-llama/Llama-2-7b-hf
3,Using a telescope to look at,He used a telescope to look at,impossible_magic,unicorns.,▁un ic orn s .,13.962393863126636,meta-llama/Llama-2-7b-hf
3,Using a telescope to look at,He used a telescope to look at,inconceivable_syntactic,of.,▁of .,15.962308883666992,meta-llama/Llama-2-7b-hf
3,Using a telescope to look at,He used a telescope to look at,inconceivable_semantic,a decade.,▁a ▁de cade .,17.74018359184265,meta-llama/Llama-2-7b-hf
4,Chilling a drink using,He chilled a drink using,probable,ice.,▁ice .,5.661334753036499,meta-llama/Llama-2-7b-hf
4,Chilling a drink using,He chilled a drink using,improbable,snow.,▁snow .,8.393949389457703,meta-llama/Llama-2-7b-hf
4,Chilling a drink using,He chilled a drink using,impossible_physics,fire.,▁fire .,7.849828243255615,meta-llama/Llama-2-7b-hf
4,Chilling a drink using,He chilled a drink using,impossible_magic,pixies.,▁pix ies .,18.71038854122162,meta-llama/Llama-2-7b-hf
4,Chilling a drink using,He chilled a drink using,inconceivable_syntactic,at.,▁at .,16.696024417877197,meta-llama/Llama-2-7b-hf
4,Chilling a drink using,He chilled a drink using,inconceivable_semantic,tomorrow.,▁tom orrow .,17.075891733169556,meta-llama/Llama-2-7b-hf
5,Washing dishes using,He washed dishes using,probable,soap.,▁soap .,6.262806415557861,meta-llama/Llama-2-7b-hf
5,Washing dishes using,He washed dishes using,improbable,rain.,▁rain .,14.334726333618164,meta-llama/Llama-2-7b-hf
5,Washing dishes using,He washed dishes using,impossible_physics,lightning.,▁light ning .,13.30186653137207,meta-llama/Llama-2-7b-hf
5,Washing dishes using,He washed dishes using,impossible_magic,fairies.,▁f ai ries .,16.357439786195755,meta-llama/Llama-2-7b-hf
5,Washing dishes using,He washed dishes using,inconceivable_syntactic,fell.,▁fell .,18.529172897338867,meta-llama/Llama-2-7b-hf
5,Washing dishes using,He washed dishes using,inconceivable_semantic,arithmetic.,▁arithmetic .,15.589832663536072,meta-llama/Llama-2-7b-hf
6,Building a robot out of,He built a robot out of,probable,metal.,▁metal .,9.03191328048706,meta-llama/Llama-2-7b-hf
6,Building a robot out of,He built a robot out of,improbable,plastic.,▁pl astic .,9.898797541856766,meta-llama/Llama-2-7b-hf
6,Building a robot out of,He built a robot out of,impossible_physics,soup.,▁soup .,13.05950117111206,meta-llama/Llama-2-7b-hf
6,Building a robot out of,He built a robot out of,impossible_magic,elixirs.,▁el ix irs .,19.07074475288391,meta-llama/Llama-2-7b-hf
6,Building a robot out of,He built a robot out of,inconceivable_syntactic,with.,▁with .,15.457322597503662,meta-llama/Llama-2-7b-hf
6,Building a robot out of,He built a robot out of,inconceivable_semantic,honesty.,▁hon esty .,15.098437458276749,meta-llama/Llama-2-7b-hf
7,Flying a kite using,He flew a kite using,probable,string.,▁string .,7.535150051116943,meta-llama/Llama-2-7b-hf
7,Flying a kite using,He flew a kite using,improbable,floss.,▁fl oss .,15.429192066192627,meta-llama/Llama-2-7b-hf
7,Flying a kite using,He flew a kite using,impossible_physics,lead.,▁lead .,13.64017915725708,meta-llama/Llama-2-7b-hf
7,Flying a kite using,He flew a kite using,impossible_magic,witchcraft.,▁w itch craft .,12.100372701883316,meta-llama/Llama-2-7b-hf
7,Flying a kite using,He flew a kite using,inconceivable_syntactic,give.,▁give .,19.069217205047607,meta-llama/Llama-2-7b-hf
7,Flying a kite using,He flew a kite using,inconceivable_semantic,a sound.,▁a ▁sound .,14.597541451454163,meta-llama/Llama-2-7b-hf
8,Crafting a bowl out of,He crafted a bowl out of,probable,clay.,▁cl ay .,4.402364666573703,meta-llama/Llama-2-7b-hf
8,Crafting a bowl out of,He crafted a bowl out of,improbable,mud.,▁mud .,6.98294985294342,meta-llama/Llama-2-7b-hf
8,Crafting a bowl out of,He crafted a bowl out of,impossible_physics,smoke.,▁smoke .,10.80175793170929,meta-llama/Llama-2-7b-hf
8,Crafting a bowl out of,He crafted a bowl out of,impossible_magic,auras.,▁a uras .,18.865856528282166,meta-llama/Llama-2-7b-hf
8,Crafting a bowl out of,He crafted a bowl out of,inconceivable_syntactic,forget.,▁forget .,19.651150226593018,meta-llama/Llama-2-7b-hf
8,Crafting a bowl out of,He crafted a bowl out of,inconceivable_semantic,friction.,▁fr iction .,15.686455965042114,meta-llama/Llama-2-7b-hf
9,Growing vegetables in,He grew vegetables in,probable,soil.,▁soil .,10.237188339233398,meta-llama/Llama-2-7b-hf
9,Growing vegetables in,He grew vegetables in,improbable,sand.,▁sand .,10.118890047073364,meta-llama/Llama-2-7b-hf
9,Growing vegetables in,He grew vegetables in,impossible_physics,bleach.,▁ble ach .,16.6488196849823,meta-llama/Llama-2-7b-hf
9,Growing vegetables in,He grew vegetables in,impossible_magic,stardust.,▁st ard ust .,17.968793958425522,meta-llama/Llama-2-7b-hf
9,Growing vegetables in,He grew vegetables in,inconceivable_syntactic,become.,▁become .,19.515369415283203,meta-llama/Llama-2-7b-hf
9,Growing vegetables in,He grew vegetables in,inconceivable_semantic,justice.,▁justice .,16.12590980529785,meta-llama/Llama-2-7b-hf
10,Writing a letter using,He wrote a letter using,probable,a pen.,▁a ▁pen .,7.378222227096558,meta-llama/Llama-2-7b-hf
10,Writing a letter using,He wrote a letter using,improbable,a toothbrush.,▁a ▁to oth br ush .,12.310494187055156,meta-llama/Llama-2-7b-hf
10,Writing a letter using,He wrote a letter using,impossible_physics,wind.,▁wind .,12.671514749526978,meta-llama/Llama-2-7b-hf
10,Writing a letter using,He wrote a letter using,impossible_magic,a wand.,▁a ▁wand .,13.148677706718445,meta-llama/Llama-2-7b-hf
10,Writing a letter using,He wrote a letter using,inconceivable_syntactic,onto.,▁onto .,20.398305892944336,meta-llama/Llama-2-7b-hf
10,Writing a letter using,He wrote a letter using,inconceivable_semantic,time.,▁time .,14.16836929321289,meta-llama/Llama-2-7b-hf
11,Cooking dinner out of,He cooked dinner out of,probable,pasta.,▁past a .,11.225350826978683,meta-llama/Llama-2-7b-hf
11,Cooking dinner out of,He cooked dinner out of,improbable,clay.,▁cl ay .,10.570371627807617,meta-llama/Llama-2-7b-hf
11,Cooking dinner out of,He cooked dinner out of,impossible_physics,thunder.,▁th under .,15.731827735900879,meta-llama/Llama-2-7b-hf
11,Cooking dinner out of,He cooked dinner out of,impossible_magic,a potion.,▁a ▁pot ion .,15.695395588874817,meta-llama/Llama-2-7b-hf
11,Cooking dinner out of,He cooked dinner out of,inconceivable_syntactic,through.,▁through .,18.267176628112793,meta-llama/Llama-2-7b-hf
11,Cooking dinner out of,He cooked dinner out of,inconceivable_semantic,words.,▁words .,11.170714378356934,meta-llama/Llama-2-7b-hf
12,Taking a bath in,He took a bath in,probable,bubbles.,▁b ub bles .,11.064739815890789,meta-llama/Llama-2-7b-hf
12,Taking a bath in,He took a bath in,improbable,tea.,▁tea .,9.832728505134583,meta-llama/Llama-2-7b-hf
12,Taking a bath in,He took a bath in,impossible_physics,light.,▁light .,10.421116709709167,meta-llama/Llama-2-7b-hf
12,Taking a bath in,He took a bath in,impossible_magic,crystals.,▁cry st als .,13.409179419279099,meta-llama/Llama-2-7b-hf
12,Taking a bath in,He took a bath in,inconceivable_syntactic,without.,▁without .,17.305528163909912,meta-llama/Llama-2-7b-hf
12,Taking a bath in,He took a bath in,inconceivable_semantic,language.,▁language .,13.086785078048706,meta-llama/Llama-2-7b-hf
13,Brewing coffee using,He brewed coffee using,probable,water.,▁water .,8.085338115692139,meta-llama/Llama-2-7b-hf
13,Brewing coffee using,He brewed coffee using,improbable,soda.,▁s oda .,11.680302143096924,meta-llama/Llama-2-7b-hf
13,Brewing coffee using,He brewed coffee using,impossible_physics,glue.,▁gl ue .,12.850405812263489,meta-llama/Llama-2-7b-hf
13,Brewing coffee using,He brewed coffee using,impossible_magic,lightsabers.,▁lights ab ers .,14.953578621149063,meta-llama/Llama-2-7b-hf
13,Brewing coffee using,He brewed coffee using,inconceivable_syntactic,into.,▁into .,18.492926120758057,meta-llama/Llama-2-7b-hf
13,Brewing coffee using,He brewed coffee using,inconceivable_semantic,numbers.,▁numbers .,13.633913397789001,meta-llama/Llama-2-7b-hf
14,Painting a house using,He painted a house using,probable,a brush.,▁a ▁br ush .,7.514994928613305,meta-llama/Llama-2-7b-hf
14,Painting a house using,He painted a house using,improbable,a mop.,▁a ▁m op .,11.007856011390686,meta-llama/Llama-2-7b-hf
14,Painting a house using,He painted a house using,impossible_physics,a planet.,▁a ▁planet .,15.716992259025574,meta-llama/Llama-2-7b-hf
14,Painting a house using,He painted a house using,impossible_magic,incantations.,▁inc ant ations .,15.58276852965355,meta-llama/Llama-2-7b-hf
14,Painting a house using,He painted a house using,inconceivable_syntactic,before.,▁before .,16.722220420837402,meta-llama/Llama-2-7b-hf
14,Painting a house using,He painted a house using,inconceivable_semantic,questions.,▁questions .,12.703125834465027,meta-llama/Llama-2-7b-hf
