item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model
0,He baked a cake inside,probable,an oven.,-7.678192138671875,-2.5593973795572915,gpt2
0,He baked a cake inside,improbable,an airfryer.,-24.097740173339844,-4.016290028889974,gpt2
0,He baked a cake inside,impossible,a freezer.,-9.375152587890625,-3.1250508626302085,gpt2
0,He baked a cake inside,inconceivable,a sigh.,-15.744316101074219,-5.248105367024739,gpt2
0,He baked a cake inside,inconceivable_syntactic,grasp.,-18.422317504882812,-9.211158752441406,gpt2
1,He boiled water using,probable,a kettle.,-7.2627716064453125,-2.420923868815104,gpt2
1,He boiled water using,improbable,a microwave.,-8.268348693847656,-2.7561162312825522,gpt2
1,He boiled water using,impossible,a refrigerator.,-11.019889831542969,-3.6732966105143228,gpt2
1,He boiled water using,inconceivable,justice.,-15.215011596679688,-7.607505798339844,gpt2
1,He boiled water using,inconceivable_syntactic,began.,-19.071922302246094,-9.535961151123047,gpt2
2,He broke a coconut using,probable,a rock.,-9.163055419921875,-3.054351806640625,gpt2
2,He broke a coconut using,improbable,a table.,-13.586990356445312,-4.5289967854817705,gpt2
2,He broke a coconut using,impossible,a pillow.,-9.689231872558594,-3.2297439575195312,gpt2
2,He broke a coconut using,inconceivable,a texture.,-19.903907775878906,-6.634635925292969,gpt2
2,He broke a coconut using,inconceivable_syntactic,of.,-17.90286636352539,-8.951433181762695,gpt2
3,He built a house out of,probable,brick.,-8.361465454101562,-4.180732727050781,gpt2
3,He built a house out of,improbable,grass.,-9.287826538085938,-4.643913269042969,gpt2
3,He built a house out of,impossible,gas.,-10.892501831054688,-5.446250915527344,gpt2
3,He built a house out of,inconceivable,language.,-15.212577819824219,-7.606288909912109,gpt2
3,He built a house out of,inconceivable_syntactic,at.,-20.340194702148438,-10.170097351074219,gpt2
4,He built a bridge out of,probable,steel.,-7.111106872558594,-3.555553436279297,gpt2
4,He built a bridge out of,improbable,plastic.,-8.808265686035156,-4.404132843017578,gpt2
4,He built a bridge out of,impossible,soup.,-13.000213623046875,-6.5001068115234375,gpt2
4,He built a bridge out of,inconceivable,dance.,-17.54419708251953,-8.772098541259766,gpt2
4,He built a bridge out of,inconceivable_syntactic,fell.,-19.250381469726562,-9.625190734863281,gpt2
5,He called a friend using,probable,a phone.,-7.854827880859375,-2.6182759602864585,gpt2
5,He called a friend using,improbable,a laptop.,-10.826637268066406,-3.6088790893554688,gpt2
5,He called a friend using,impossible,a sandwich.,-14.112442016601562,-4.7041473388671875,gpt2
5,He called a friend using,inconceivable,mass.,-18.330406188964844,-9.165203094482422,gpt2
5,He called a friend using,inconceivable_syntactic,with.,-17.586772918701172,-8.793386459350586,gpt2
6,He carried groceries inside,probable,a tote bag.,-17.041149139404297,-3.4082298278808594,gpt2
6,He carried groceries inside,improbable,a backpack.,-10.306716918945312,-3.435572306315104,gpt2
6,He carried groceries inside,impossible,a tornado.,-15.031074523925781,-5.010358174641927,gpt2
6,He carried groceries inside,inconceivable,a law.,-19.658855438232422,-6.552951812744141,gpt2
6,He carried groceries inside,inconceivable_syntactic,give.,-18.103790283203125,-9.051895141601562,gpt2
7,He carved a statue using,probable,a chisel.,-10.955718994140625,-2.7389297485351562,gpt2
7,He carved a statue using,improbable,a nail.,-12.060356140136719,-4.020118713378906,gpt2
7,He carved a statue using,impossible,a sock.,-13.875885009765625,-4.625295003255208,gpt2
7,He carved a statue using,inconceivable,laughter.,-12.851036071777344,-6.425518035888672,gpt2
7,He carved a statue using,inconceivable_syntactic,forget.,-20.041152954101562,-10.020576477050781,gpt2
8,He caught a fish in,probable,a lake.,-7.447628021240234,-2.4825426737467446,gpt2
8,He caught a fish in,improbable,a puddle.,-9.784423828125,-2.44610595703125,gpt2
8,He caught a fish in,impossible,a raindrop.,-14.886932373046875,-3.7217330932617188,gpt2
8,He caught a fish in,inconceivable,an exclamation.,-19.50020980834961,-4.875052452087402,gpt2
8,He caught a fish in,inconceivable_syntactic,become.,-20.136932373046875,-10.068466186523438,gpt2
9,He chilled a drink using,probable,ice.,-7.229866027832031,-3.6149330139160156,gpt2
9,He chilled a drink using,improbable,snow.,-12.770439147949219,-6.385219573974609,gpt2
9,He chilled a drink using,impossible,fire.,-11.424797058105469,-5.712398529052734,gpt2
9,He chilled a drink using,inconceivable,yesterday.,-17.760581970214844,-8.880290985107422,gpt2
9,He chilled a drink using,inconceivable_syntactic,onto.,-23.582195281982422,-11.791097640991211,gpt2
10,He chopped a carrot using,probable,a knife.,-3.9699630737304688,-1.323321024576823,gpt2
10,He chopped a carrot using,improbable,a sword.,-8.955299377441406,-2.9850997924804688,gpt2
10,He chopped a carrot using,impossible,a rag.,-10.702110290527344,-3.5673700968424478,gpt2
10,He chopped a carrot using,inconceivable,a color.,-21.013328552246094,-7.004442850748698,gpt2
10,He chopped a carrot using,inconceivable_syntactic,through.,-17.365631103515625,-8.682815551757812,gpt2
11,He cleaned a spill using,probable,a sponge.,-8.081123352050781,-2.6937077840169272,gpt2
11,He cleaned a spill using,improbable,a scarf.,-13.528709411621094,-4.509569803873698,gpt2
11,He cleaned a spill using,impossible,mustard.,-10.702545166015625,-5.3512725830078125,gpt2
11,He cleaned a spill using,inconceivable,a country.,-17.879302978515625,-5.959767659505208,gpt2
11,He cleaned a spill using,inconceivable_syntactic,without.,-21.7677001953125,-10.88385009765625,gpt2
12,He cleaned a carpet using,probable,a vacuum.,-10.970062255859375,-3.6566874186197915,gpt2
12,He cleaned a carpet using,improbable,a hat.,-12.036720275878906,-4.012240091959636,gpt2
12,He cleaned a carpet using,impossible,a crayon.,-9.710582733154297,-1.9421165466308594,gpt2
12,He cleaned a carpet using,inconceivable,a week.,-17.366619110107422,-5.788873036702474,gpt2
12,He cleaned a carpet using,inconceivable_syntactic,into.,-21.532958984375,-10.7664794921875,gpt2
13,He climbed a tree using,probable,a ladder.,-6.470115661621094,-2.1567052205403647,gpt2
13,He climbed a tree using,improbable,a rope.,-5.8381195068359375,-1.9460398356119792,gpt2
13,He climbed a tree using,impossible,oil.,-11.046722412109375,-5.5233612060546875,gpt2
13,He climbed a tree using,inconceivable,a poem.,-14.506126403808594,-4.835375467936198,gpt2
13,He climbed a tree using,inconceivable_syntactic,before.,-16.60247039794922,-8.30123519897461,gpt2
14,He closed a jacket using,probable,a zipper.,-9.229949951171875,-3.0766499837239585,gpt2
14,He closed a jacket using,improbable,glue.,-8.763832092285156,-4.381916046142578,gpt2
14,He closed a jacket using,impossible,fog.,-15.969528198242188,-7.984764099121094,gpt2
14,He closed a jacket using,inconceivable,a word.,-14.629310607910156,-4.876436869303386,gpt2
14,He closed a jacket using,inconceivable_syntactic,until.,-19.124984741210938,-9.562492370605469,gpt2
15,He constructed a tower out of,probable,blocks.,-9.07989501953125,-4.539947509765625,gpt2
15,He constructed a tower out of,improbable,bubbles.,-12.935516357421875,-6.4677581787109375,gpt2
15,He constructed a tower out of,impossible,sparks.,-14.275016784667969,-7.137508392333984,gpt2
15,He constructed a tower out of,inconceivable,seasons.,-16.45794677734375,-8.228973388671875,gpt2
15,He constructed a tower out of,inconceivable_syntactic,forgive.,-23.0909423828125,-11.54547119140625,gpt2
16,He cooked dinner out of,probable,pasta.,-7.833854675292969,-3.9169273376464844,gpt2
16,He cooked dinner out of,improbable,insects.,-13.20660400390625,-6.603302001953125,gpt2
16,He cooked dinner out of,impossible,the moon.,-13.929100036621094,-4.643033345540364,gpt2
