item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model,revision
0,He baked a cake inside,probable,an oven.,-6.59255313873291,-2.19751771291097,allenai/OLMo-7B-0424-hf,step72500-tokens303B
0,He baked a cake inside,improbable,an airfryer.,-17.40811252593994,-2.9013520876566568,allenai/OLMo-7B-0424-hf,step72500-tokens303B
0,He baked a cake inside,impossible,a freezer.,-10.265597343444824,-3.421865781148275,allenai/OLMo-7B-0424-hf,step72500-tokens303B
0,He baked a cake inside,inconceivable,a sigh.,-16.136690139770508,-5.378896713256836,allenai/OLMo-7B-0424-hf,step72500-tokens303B
0,He baked a cake inside,inconceivable_syntactic,grasp.,-18.48048686981201,-9.240243434906006,allenai/OLMo-7B-0424-hf,step72500-tokens303B
1,He boiled water using,probable,a kettle.,-5.308558464050293,-1.3271396160125732,allenai/OLMo-7B-0424-hf,step72500-tokens303B
1,He boiled water using,improbable,a microwave.,-9.104806900024414,-3.034935633341471,allenai/OLMo-7B-0424-hf,step72500-tokens303B
1,He boiled water using,impossible,a refrigerator.,-14.06689167022705,-4.688963890075684,allenai/OLMo-7B-0424-hf,step72500-tokens303B
1,He boiled water using,inconceivable,justice.,-17.507280349731445,-8.753640174865723,allenai/OLMo-7B-0424-hf,step72500-tokens303B
1,He boiled water using,inconceivable_syntactic,began.,-17.522705078125,-8.7613525390625,allenai/OLMo-7B-0424-hf,step72500-tokens303B
2,He broke a coconut using,probable,a rock.,-7.710979461669922,-2.570326487223307,allenai/OLMo-7B-0424-hf,step72500-tokens303B
2,He broke a coconut using,improbable,a table.,-11.659422874450684,-3.886474291483561,allenai/OLMo-7B-0424-hf,step72500-tokens303B
2,He broke a coconut using,impossible,a pillow.,-12.930878639221191,-4.310292879740397,allenai/OLMo-7B-0424-hf,step72500-tokens303B
2,He broke a coconut using,inconceivable,a texture.,-18.93852138519287,-6.312840461730957,allenai/OLMo-7B-0424-hf,step72500-tokens303B
