item_id,eval_prefix,condition,continuation,token_idx,token,token_logprob,is_continuation_token,model
0,He baked a cake inside,probable,an oven.,0,<|endoftext|>,0.0,False,gpt2-xl
0,He baked a cake inside,probable,an oven.,1,He,-6.220003128051758,False,gpt2-xl
0,He baked a cake inside,probable,an oven.,2,Ġbaked,-12.143403053283691,False,gpt2-xl
0,He baked a cake inside,probable,an oven.,3,Ġa,-1.7034263610839844,False,gpt2-xl
0,He baked a cake inside,probable,an oven.,4,Ġcake,-1.1750221252441406,False,gpt2-xl
0,He baked a cake inside,probable,an oven.,5,Ġinside,-7.798525810241699,False,gpt2-xl
0,He baked a cake inside,probable,an oven.,6,Ġan,-3.284608840942383,True,gpt2-xl
0,He baked a cake inside,probable,an oven.,7,Ġoven,-2.603156089782715,True,gpt2-xl
0,He baked a cake inside,probable,an oven.,8,.,-1.9554662704467773,True,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,0,<|endoftext|>,0.0,False,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,1,He,-6.220003128051758,False,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,2,Ġbaked,-12.143403053283691,False,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,3,Ġa,-1.7034263610839844,False,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,4,Ġcake,-1.1750221252441406,False,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,5,Ġinside,-7.798525810241699,False,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,6,Ġan,-3.284608840942383,True,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,7,Ġair,-4.651943683624268,True,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,8,f,-8.417069435119629,True,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,9,ry,-3.269545555114746,True,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,10,er,-0.12147712707519531,True,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,11,.,-1.6312179565429688,True,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,0,<|endoftext|>,0.0,False,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,1,He,-6.220003128051758,False,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,2,Ġbaked,-12.143403053283691,False,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,3,Ġa,-1.7034263610839844,False,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,4,Ġcake,-1.1750221252441406,False,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,5,Ġinside,-7.798525810241699,False,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,6,Ġa,-0.7056083679199219,True,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,7,Ġfreezer,-6.806466102600098,True,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,8,.,-1.8800582885742188,True,gpt2-xl
0,He baked a cake inside,inconceivable,a sigh.,0,<|endoftext|>,0.0,False,gpt2-xl
0,He baked a cake inside,inconceivable,a sigh.,1,He,-6.220003128051758,False,gpt2-xl
0,He baked a cake inside,inconceivable,a sigh.,2,Ġbaked,-12.143403053283691,False,gpt2-xl
0,He baked a cake inside,inconceivable,a sigh.,3,Ġa,-1.7034263610839844,False,gpt2-xl
