item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model
0,He baked a cake inside,probable,an oven.,-6.78389835357666,-2.26129945119222,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,-14.90212345123291,-2.483687241872152,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,-11.281410217285156,-3.7604700724283853,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,-18.779613494873047,-6.259871164957683,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable_syntactic,grasp.,-20.137981414794922,-10.068990707397461,meta-llama/Meta-Llama-3-8B
1,He boiled water using,probable,a kettle.,-7.69053840637207,-2.5635128021240234,meta-llama/Meta-Llama-3-8B
1,He boiled water using,improbable,a microwave.,-8.55998706817627,-2.8533290227254233,meta-llama/Meta-Llama-3-8B
1,He boiled water using,impossible,a refrigerator.,-13.428332328796387,-4.476110776265462,meta-llama/Meta-Llama-3-8B
1,He boiled water using,inconceivable,justice.,-17.534103393554688,-8.767051696777344,meta-llama/Meta-Llama-3-8B
1,He boiled water using,inconceivable_syntactic,began.,-18.356345176696777,-9.178172588348389,meta-llama/Meta-Llama-3-8B
2,He broke a coconut using,probable,a rock.,-8.095369338989258,-2.6984564463297525,meta-llama/Meta-Llama-3-8B
2,He broke a coconut using,improbable,a table.,-11.15543270111084,-3.7184775670369468,meta-llama/Meta-Llama-3-8B
2,He broke a coconut using,impossible,a pillow.,-11.216487884521484,-3.7388292948404946,meta-llama/Meta-Llama-3-8B
2,He broke a coconut using,inconceivable,a texture.,-18.423563957214355,-6.141187985738118,meta-llama/Meta-Llama-3-8B
2,He broke a coconut using,inconceivable_syntactic,of.,-16.43385934829712,-8.21692967414856,meta-llama/Meta-Llama-3-8B
3,He built a house out of,probable,brick.,-8.276545524597168,-4.138272762298584,meta-llama/Meta-Llama-3-8B
3,He built a house out of,improbable,grass.,-8.737330436706543,-4.3686652183532715,meta-llama/Meta-Llama-3-8B
