item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model
0,He baked a cake inside,probable,an oven.,-7.276866912841797,-2.425622304280599,gpt2-medium
0,He baked a cake inside,improbable,an airfryer.,-20.572612762451172,-3.428768793741862,gpt2-medium
0,He baked a cake inside,impossible,a freezer.,-8.552505493164062,-2.850835164388021,gpt2-medium
0,He baked a cake inside,inconceivable,a sigh.,-15.86844253540039,-5.289480845133464,gpt2-medium
0,He baked a cake inside,inconceivable_syntactic,grasp.,-19.038169860839844,-9.519084930419922,gpt2-medium
1,He boiled water using,probable,a kettle.,-7.7383270263671875,-2.579442342122396,gpt2-medium
1,He boiled water using,improbable,a microwave.,-8.210861206054688,-2.7369537353515625,gpt2-medium
1,He boiled water using,impossible,a refrigerator.,-13.11669921875,-4.372233072916667,gpt2-medium
1,He boiled water using,inconceivable,justice.,-17.109718322753906,-8.554859161376953,gpt2-medium
1,He boiled water using,inconceivable_syntactic,began.,-18.825820922851562,-9.412910461425781,gpt2-medium
2,He broke a coconut using,probable,a rock.,-8.135211944580078,-2.711737314860026,gpt2-medium
2,He broke a coconut using,improbable,a table.,-13.821094512939453,-4.607031504313151,gpt2-medium
2,He broke a coconut using,impossible,a pillow.,-12.057476043701172,-4.019158681233724,gpt2-medium
2,He broke a coconut using,inconceivable,a texture.,-18.655452728271484,-6.218484242757161,gpt2-medium
2,He broke a coconut using,inconceivable_syntactic,of.,-18.635427474975586,-9.317713737487793,gpt2-medium
3,He built a house out of,probable,brick.,-7.545177459716797,-3.7725887298583984,gpt2-medium
3,He built a house out of,improbable,grass.,-8.895103454589844,-4.447551727294922,gpt2-medium
3,He built a house out of,impossible,gas.,-11.295562744140625,-5.6477813720703125,gpt2-medium
3,He built a house out of,inconceivable,language.,-12.943061828613281,-6.471530914306641,gpt2-medium
3,He built a house out of,inconceivable_syntactic,at.,-18.604511260986328,-9.302255630493164,gpt2-medium
4,He built a bridge out of,probable,steel.,-6.95196533203125,-3.475982666015625,gpt2-medium
4,He built a bridge out of,improbable,plastic.,-7.431911468505859,-3.7159557342529297,gpt2-medium
4,He built a bridge out of,impossible,soup.,-11.23724365234375,-5.618621826171875,gpt2-medium
4,He built a bridge out of,inconceivable,dance.,-15.57366943359375,-7.786834716796875,gpt2-medium
4,He built a bridge out of,inconceivable_syntactic,fell.,-17.759021759033203,-8.879510879516602,gpt2-medium
5,He called a friend using,probable,a phone.,-8.764793395996094,-2.9215977986653647,gpt2-medium
5,He called a friend using,improbable,a laptop.,-11.303627014160156,-3.7678756713867188,gpt2-medium
5,He called a friend using,impossible,a sandwich.,-16.750633239746094,-5.583544413248698,gpt2-medium
5,He called a friend using,inconceivable,mass.,-15.54277229309082,-7.77138614654541,gpt2-medium
5,He called a friend using,inconceivable_syntactic,with.,-16.262454986572266,-8.131227493286133,gpt2-medium
6,He carried groceries inside,probable,a tote bag.,-14.63790512084961,-2.927581024169922,gpt2-medium
6,He carried groceries inside,improbable,a backpack.,-9.453926086425781,-3.1513086954752603,gpt2-medium
6,He carried groceries inside,impossible,a tornado.,-14.946548461914062,-4.9821828206380205,gpt2-medium
6,He carried groceries inside,inconceivable,a law.,-20.242780685424805,-6.7475935618082685,gpt2-medium
6,He carried groceries inside,inconceivable_syntactic,give.,-18.388381958007812,-9.194190979003906,gpt2-medium
7,He carved a statue using,probable,a chisel.,-8.923107147216797,-2.230776786804199,gpt2-medium
7,He carved a statue using,improbable,a nail.,-11.333442687988281,-3.7778142293294272,gpt2-medium
7,He carved a statue using,impossible,a sock.,-14.215187072753906,-4.738395690917969,gpt2-medium
7,He carved a statue using,inconceivable,laughter.,-15.098560333251953,-7.549280166625977,gpt2-medium
7,He carved a statue using,inconceivable_syntactic,forget.,-21.237960815429688,-10.618980407714844,gpt2-medium
8,He caught a fish in,probable,a lake.,-7.627185821533203,-2.542395273844401,gpt2-medium
8,He caught a fish in,improbable,a puddle.,-9.24416732788086,-2.311041831970215,gpt2-medium
8,He caught a fish in,impossible,a raindrop.,-13.526298522949219,-3.3815746307373047,gpt2-medium
8,He caught a fish in,inconceivable,an exclamation.,-17.23371124267578,-4.308427810668945,gpt2-medium
8,He caught a fish in,inconceivable_syntactic,become.,-19.14523696899414,-9.57261848449707,gpt2-medium
